fire_location_latitude,fire_location_longitude,fire_start_date,weather_conditions_over_fire,temperature,relative_humidity,wind_speed
53.93425,-118.9567,2006-07-01 17:30:00,Clear,24,15,5
53.933267,-118.9591,2006-07-01 17:30:00,Clear,24,15,5
53.932317,-118.96385,2006-07-01 17:30:00,Clear,24,15,5
53.3462,-116.575633,2006-07-03 15:30:00,Clear,30,29,4
58.712833,-118.668167,2006-07-19 20:25:00,Clear,20,80,5
53.7757,-119.760791,2006-05-31 15:15:00,Cloudy,12,30,10
53.089467,-116.236767,2006-07-03 18:30:00,Cloudy,26,25,10
51.731143,-115.479714,2006-07-15 11:00:00,Clear,20,30,2
52.13149,-115.235311,2006-06-05 00:00:00,Cloudy,20,20,20
57.184217,-113.355683,2006-06-27 17:00:00,Clear,30,34,2
54.5111,-119.132767,2006-07-19 19:00:00,Clear,22,30,12
55.055969,-118.815782,2006-08-06 11:10:00,Clear,23,48,0
55.132384,-117.491329,2006-08-06 09:00:00,Clear,18,45,0
50.21405,-114.42695,2006-08-06 08:00:00,Clear,20,35,5
55.304,-114.737967,2006-08-06 14:00:00,Clear,20,56,11
54.570333,-116.628167,2006-08-06 18:10:00,Rainshowers,16,60,0
53.241967,-117.4355,2006-07-14 18:30:00,Clear,20,45,15
54.378867,-111.033883,2006-08-06 20:00:00,Clear,22,58,15
51.272566,-115.046495,2006-08-07 08:00:00,Clear,20,30,10
54.357613,-117.028103,2006-08-07 12:00:00,Clear,28,31,0
57.9576,-110.957167,2006-08-07 14:25:00,Clear,28,30,9
52.862467,-116.989183,2006-08-06 17:00:00,Clear,25,35,0
54.948283,-115.193083,2006-07-04 12:00:00,Clear,22,50,5
54.575823,-115.157091,2006-08-07 12:00:00,Clear,21,61,0
54.313949,-115.147254,2006-08-07 12:00:00,Clear,21,61,0
54.313949,-115.147254,2006-08-07 12:00:00,Clear,21,61,0
54.690433,-115.5214,2006-06-26 09:20:00,Clear,25,40,10
56.278833,-117.103167,2006-06-14 12:00:00,Clear,33,25,7
54.977489,-117.146517,2006-06-27 02:00:00,Clear,22,30,5
57.855333,-112.086867,2006-06-27 11:15:00,Cloudy,22,30,10
58.009517,-112.669483,2006-06-27 09:30:00,Clear,29,26,33
57.905167,-113.032833,2006-06-27 12:06:00,Clear,26,30,15
57.942128,-113.005035,2006-06-27 14:05:00,Cloudy,22,26,33
57.81,-112.982,2006-06-27 14:16:00,Clear,29,26,33
55.907133,-115.621,2006-06-27 15:50:00,Cloudy,32,33,5
57.883833,-114.415667,2006-06-27 17:45:00,Clear,32,30,10
57.893433,-114.17665,2006-06-27 18:00:00,CB Dry,30.6,42,23
57.986433,-114.250083,2006-06-27 00:00:00,CB Dry,30.6,42,23
57.379433,-113.38035,2006-06-27 12:00:00,Cloudy,28,32,10
57.271833,-112.753333,2006-06-27 18:00:00,CB Dry,27,30,25
53.76075,-117.051967,2006-07-06 00:00:00,Cloudy,21,70,5
54.225483,-115.071483,2006-07-04 18:00:00,Cloudy,20,90,5
55.859467,-116.38335,2006-07-01 10:00:00,Cloudy,20,56,0
55.494733,-110.6616,2006-07-05 18:50:00,Cloudy,17,65,5
54.144083,-116.877283,2006-07-04 20:00:00,CB Dry,22,50,5
52.068,-115.36095,2006-07-05 20:30:00,Cloudy,24,60,0
54.267167,-119.838667,2006-07-05 21:00:00,Cloudy,17.5,70,7
54.46125,-115.519597,2006-07-04 18:00:00,Clear,32,28,10
55.575667,-112.875167,2006-07-05 18:00:00,Cloudy,20,85,0
53.958717,-118.984433,2006-07-01 17:30:00,Clear,24,15,5
57.154117,-112.377783,2006-07-05 01:04:00,Cloudy,19,35,15
53.960533,-118.9858,2006-07-01 17:30:00,Clear,24,15,5
56.477,-112.581667,2006-07-06 15:55:00,Clear,28,52,8
55.165733,-110.642917,2006-07-05 19:00:00,CB Dry,19,40,10
49.6266,-114.569317,2006-07-16 14:40:00,Clear,21,32,25
53.325833,-116.668333,2006-07-03 18:30:00,CB Wet,16,83,0
51.159539,-114.852534,2006-07-17 17:00:00,Clear,28,30,5
52.074717,-115.97265,2006-07-03 13:00:00,Clear,24,33,9
56.577117,-110.357233,2006-07-20 06:50:00,Cloudy,25,35,15
53.472817,-117.789383,2006-07-20 16:15:00,Clear,27,41,0
53.494767,-117.826733,2006-07-20 16:15:00,Clear,27,41,0
52.078133,-116.103733,2006-07-20 18:00:00,Clear,20,35,10
59.799285,-117.867488,2006-07-19 15:30:00,CB Dry,18,47,10
54.366833,-111.050167,2006-07-05 12:00:00,CB Dry,19,40,10
54.676483,-117.848467,2006-07-11 13:00:00,Clear,30,35,5
55.206,-113.18925,2006-08-07 19:20:00,Clear,12,80,0
54.747867,-117.51045,2006-08-04 23:09:00,Cloudy,17,45,10
54.865867,-116.199517,2006-06-27 20:16:00,CB Wet,24.5,40,19
54.313949,-115.147254,2006-08-07 12:00:00,Clear,21,61,0
53.447417,-116.17585,2006-08-08 20:20:00,Clear,19,60,5
54.463017,-116.80695,2006-08-06 19:00:00,Cloudy,20,55,15
50.030183,-114.5525,2006-08-08 20:00:00,Cloudy,27,20,0
54.405433,-117.592767,2006-07-04 20:00:00,Clear,20,50,0
53.616583,-115.224367,2006-08-08 13:00:00,Cloudy,21.4,36,5
55.317167,-114.984333,2006-07-17 10:55:00,Rainshowers,22,70,5
59.1625,-111.0165,2006-06-29 20:00:00,Cloudy,12,50,30
54.98444,-113.65358,2006-08-08 23:00:00,Cloudy,20,69,5
55.157862,-117.093676,2006-04-16 09:00:00,Cloudy,5,50,0
57.963999,-111.105887,2006-08-09 15:42:00,Clear,27,40,8
57.057,-113.640333,2006-06-27 17:00:00,Clear,29,52,25
57.714333,-112.85775,2006-06-27 18:54:00,Clear,35,25,10
57.7081,-112.883933,2006-06-27 19:20:00,Clear,35,24,10
57.78975,-112.588733,2006-06-27 16:00:00,Clear,31,26,33
54.650667,-115.94,2006-06-27 14:00:00,Cloudy,23,40,5
55.630345,-119.405931,2006-06-27 19:55:00,CB Wet,26,55,10
55.04595,-117.1575,2006-06-27 18:00:00,Cloudy,27,43,17
57.50775,-112.20475,2006-06-27 20:36:00,Clear,33,25,25
56.077667,-116.475667,2006-06-27 19:00:00,CB Wet,19,80,15
56.065,-116.46,2006-06-27 22:00:00,CB Wet,19,85,4
55.7364,-116.715017,2006-06-27 19:00:00,CB Wet,17,90,5
55.522083,-119.487633,2006-06-27 18:00:00,CB Wet,20,30,10
55.019667,-111.403167,2006-06-28 07:00:00,Cloudy,20,60,0
54.861533,-111.376533,2006-06-28 09:00:00,CB Wet,20,40,10
54.83985,-111.4253,2006-06-28 09:00:00,CB Wet,20,50,10
54.519867,-119.6504,2006-07-06 16:50:00,CB Wet,20,50,10
53.434433,-117.325817,2006-07-06 17:00:00,CB Wet,28,75,20
54.739767,-118.3638,2006-07-06 18:00:00,Cloudy,22,55,0
54.385733,-117.949633,2006-07-04 15:30:00,CB Dry,30,30,10
54.46945,-119.520967,2006-07-03 17:00:00,Cloudy,20,50,8
54.309433,-119.5328,2006-07-03 16:50:00,Cloudy,20,35,0
54.328883,-119.162333,2006-07-03 15:30:00,Clear,26,25,13
51.707133,-115.109933,2006-07-06 18:00:00,CB Dry,18,40,2
52.6895,-115.553333,2006-07-05 20:30:00,Cloudy,18,60,0
53.352083,-116.491533,2006-07-03 19:00:00,Clear,26,35,4
52.963167,-115.5985,2006-07-01 08:00:00,Clear,25,18,15
51.123683,-115.393417,2006-07-02 18:00:00,Cloudy,20,60,5
51.13585,-114.994833,2006-07-02 19:30:00,Cloudy,19,50,0
53.292667,-117.037833,2006-07-07 13:25:00,Cloudy,20,35,20
52.977833,-115.470667,2006-07-05 18:00:00,CB Wet,20,30,10
53.26295,-115.274317,2006-07-07 14:00:00,Cloudy,23,43,20
56.78615,-113.39255,2006-07-06 11:00:00,Cloudy,18,70,10
55.54785,-110.62625,2006-07-05 18:44:00,CB Wet,24,60,15
55.539183,-110.637967,2006-07-05 18:50:00,CB Wet,24,60,15
55.496517,-110.664633,2006-07-05 18:50:00,Cloudy,17,65,5
55.028683,-118.831475,2006-07-21 11:40:00,Clear,28,39,6
53.621733,-116.607233,2006-07-17 18:00:00,Clear,32,22,5
53.390333,-116.448667,2006-07-17 17:50:00,Cloudy,30,17,7
53.31535,-116.760883,2006-07-20 20:00:00,Clear,32,30,5
56.144817,-113.295433,2006-07-18 13:00:00,Clear,28,34,10
53.123046,-117.480128,2006-07-17 21:58:00,Clear,14,60,0
55.261161,-114.738079,2006-07-02 10:32:00,Clear,24,25,0
54.4926,-118.8078,2006-07-22 16:19:00,CB Wet,28,100,15
54.967333,-116.423167,2006-08-04 19:00:00,Cloudy,21,60,0
55.254167,-114.649,2006-06-29 12:00:00,Clear,21,33,6
54.747867,-117.51045,2006-08-09 12:00:00,Cloudy,17.5,62,7
50.667167,-114.685333,2006-07-30 17:30:00,Cloudy,15,27,24
52.229657,-116.163417,2006-08-07 08:00:00,Clear,22,35,15
57.9767,-111.0128,2006-05-21 15:00:00,Cloudy,25,81,15
52.229657,-116.449037,2006-08-07 08:00:00,Clear,22,35,5
52.331869,-116.354039,2006-08-07 08:00:00,Clear,22,35,15
52.455682,-115.731109,2006-08-08 08:00:00,Clear,20,35,5
52.331869,-116.354039,2006-08-07 08:00:00,Clear,22,35,15
54.73315,-118.64155,2006-07-04 23:36:00,Clear,17,45,5
49.8839,-114.278717,2006-08-10 18:45:00,Cloudy,18,66,40
49.905417,-114.202483,2006-08-10 18:30:00,Cloudy,15,68,20
59.4,-110.6395,2006-06-15 00:00:00,Clear,31,65,5
